geographicAreaFS,Geographic Area,measuredItemParentFS,Item Parent,measuredItemChildFS,Item Child,timePointYearsSP,Year,Value,Aupus Required
7,Angola,31,Milled Paddy Rice,32,"Rice, Broken [%]",2011,2011,100,Y
7,Angola,56,Maize,58,Flour of Maize [%],2011,2011,97,Y
7,Angola,56,Maize,59,Bran of Maize [%],2011,2011,97,Y
7,Angola,56,Maize,66,Beer of Maize [%],2011,2011,3,Y
7,Angola,58,Flour of Maize,51,Beer of Barley [%],2011,2011,100,Y
7,Angola,125,Cassava,126,Flour of Cassava [%],2011,2011,0,Y
7,Angola,125,Cassava,128,Cassava Dried [%],2011,2011,100,Y
7,Angola,164,Sugar Refined,168,Sugar Confectionery [%],2011,2011,15,Y
7,Angola,164,Sugar Refined,633,Beverages Non-Alcoholic [%],2011,2011,85,Y
7,Angola,328,Seed Cotton,769,Cotton Waste [%],2011,2011,100,Y
7,Angola,486,Bananas,517,Ferm. Beverages Exc Wine [%],2011,2011,85,Y
7,Angola,486,Bananas,604,Fruit Tropical Dried nes [%],2011,2011,5,Y
7,Angola,486,Bananas,624,Flour of Fruit [%],2011,2011,10,Y
8,Antigua and Barbuda,15,Wheat,16,Flour of Wheat [%],2011,2011,100,Y
8,Antigua and Barbuda,15,Wheat,17,Bran of Wheat [%],2011,2011,100,Y
8,Antigua and Barbuda,49,Malt of Barley,51,Beer of Barley [%],2011,2011,100,Y
9,Argentina,27,"Rice, Paddy",28,"Rice, Husked [%]",2011,2011,20,Y
9,Argentina,27,"Rice, Paddy",31,Milled Paddy Rice [%],2011,2011,80,Y
9,Argentina,32,"Rice, Broken",41,Breakfast Cereals [%],2011,2011,100,Y
9,Argentina,49,Malt of Barley,50,Malt Extracts [%],2011,2011,3,Y
9,Argentina,49,Malt of Barley,51,Beer of Barley [%],2011,2011,97,Y
9,Argentina,50,Malt Extracts,51,Beer of Barley [%],2011,2011,100,Y
9,Argentina,50,Malt Extracts,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
9,Argentina,56,Maize,57,Germ of Maize [%],2011,2011,80,Y
9,Argentina,56,Maize,58,Flour of Maize [%],2011,2011,80,Y
9,Argentina,56,Maize,59,Bran of Maize [%],2011,2011,80,Y
9,Argentina,56,Maize,113,Cereal Prep nes [%],2011,2011,20,Y
9,Argentina,116,Potatoes,117,Flour of Potatoes [%],2011,2011,10,Y
9,Argentina,116,Potatoes,118,"Potatoes, frozen [%]",2011,2011,90,Y
9,Argentina,116,Potatoes,120,Potato Offals [%],2011,2011,90,Y
9,Argentina,117,Flour of Potatoes,121,Potato Tapioca [%],2011,2011,100,Y
9,Argentina,172,Glucose and Dextrose,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
9,Argentina,258,Oil of Palm Kernels,1274,Oils Boiled etc [%],2011,2011,0,Y
9,Argentina,268,Oil of Sunflower Seed,1242,Margarine + Shortening [%],2011,2011,100,Y
9,Argentina,268,Oil of Sunflower Seed,1274,Oils Boiled etc [%],2011,2011,0,Y
9,Argentina,292,Mustard Seed,295,Flour of Mustard [%],2011,2011,100,Y
9,Argentina,340,Oil of Veget Origin nes,1274,Oils Boiled etc [%],2011,2011,0,Y
9,Argentina,388,Tomatoes,392,Peeled Tomatoes [%],2011,2011,100,Y
9,Argentina,463,Vegetables Fresh nes,469,Vegetables Dehydrated [%],2011,2011,50,Y
9,Argentina,463,Vegetables Fresh nes,473,Vegetables Frozen [%],2011,2011,20,Y
9,Argentina,534,Peaches and Nectarines,622,Fruit Juice nes [%],2011,2011,100,Y
9,Argentina,903,"Whey, Fresh",173,Lactose [%],2011,2011,5,Y
9,Argentina,903,"Whey, Fresh",900,Dry Whey [%],2011,2011,95,Y
9,Argentina,1163,Game Meat,1164,"Meat, Dried, nes [%]",2011,2011,82,Y
9,Argentina,1163,Game Meat,1172,Meat Prepared nes [%],2011,2011,18,Y
1,Armenia,49,Malt of Barley,51,Beer of Barley [%],2011,2011,100,Y
1,Armenia,157,Sugar Beets,159,Beet Sugar [%],2011,2011,100,Y
1,Armenia,164,Sugar Refined,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
1,Armenia,231,Almonds Shelled,235,Preprd Nuts(Excl.Grnuts) [%],2011,2011,100,Y
1,Armenia,388,Tomatoes,390,Tomatojuice Single-Stren [%],2011,2011,5,Y
1,Armenia,388,Tomatoes,391,Tomato Paste [%],2011,2011,93,Y
1,Armenia,388,Tomatoes,392,Peeled Tomatoes [%],2011,2011,2,Y
1,Armenia,521,Pears,620,Fruit Dried nes [%],2011,2011,100,Y
1,Armenia,536,Plums,537,"Plums, Dried (Prunes) [%]",2011,2011,100,Y
1,Armenia,569,Figs,570,"Figs, Dried [%]",2011,2011,100,Y
1,Armenia,656,"Coffee, Green",657,Coffee Roasted [%],2011,2011,100,Y
1,Armenia,919,"Cattle Hides, Fresh",928,Skins Wet-Salt Calves [%],2011,2011,100,Y
1,Armenia,928,Skins Wet-Salt Calves,929,Skins Dry-Salt Calves [%],2011,2011,100,Y
1,Armenia,995,"Sheepskins, Fresh",996,Skin Wet-Salted Sheep [%],2011,2011,20,Y
1,Armenia,995,"Sheepskins, Fresh",999,Skin With Wool Sheep [%],2011,2011,80,Y
1,Armenia,1016,Goats,1017,Goat Meat [%],2011,2011,100,Y
10,Australia,16,Flour of Wheat,23,Wheat Starch [%],2011,2011,100,Y
10,Australia,16,Flour of Wheat,24,Wheat Gluten [%],2011,2011,100,Y
10,Australia,27,"Rice, Paddy",28,"Rice, Husked [%]",2011,2011,5,Y
10,Australia,27,"Rice, Paddy",31,Milled Paddy Rice [%],2011,2011,95,Y
10,Australia,27,"Rice, Paddy",35,Bran of Rice [%],2011,2011,95,Y
10,Australia,32,"Rice, Broken",38,Rice Flour [%],2011,2011,98,Y
10,Australia,32,"Rice, Broken",51,Beer of Barley [%],2011,2011,0,Y
10,Australia,32,"Rice, Broken",654,Dregs from Brewing+Dist. [%],2011,2011,0,Y
10,Australia,49,Malt of Barley,50,Malt Extracts [%],2011,2011,40,Y
10,Australia,49,Malt of Barley,51,Beer of Barley [%],2011,2011,60,Y
10,Australia,49,Malt of Barley,654,Dregs from Brewing+Dist. [%],2011,2011,60,Y
10,Australia,84,Flour of Sorghum,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
10,Australia,221,Almonds,231,Almonds Shelled [%],2011,2011,100,Y
10,Australia,236,Soybeans,237,Oil of Soya Beans [%],2011,2011,97,Y
10,Australia,236,Soybeans,238,Cake of Soya Beans [%],2011,2011,97,Y
10,Australia,236,Soybeans,343,Flour/Meal of Oilseeds [%],2011,2011,3,Y
10,Australia,243,Groundnuts Shelled,244,Oil of Groundnuts [%],2011,2011,90,Y
10,Australia,243,Groundnuts Shelled,245,Cake of Groundnuts [%],2011,2011,90,Y
10,Australia,243,Groundnuts Shelled,246,Prepared Groundnuts [%],2011,2011,10,Y
10,Australia,515,Apples,628,Fruit Pulp for Feed [%],2011,2011,100,Y
10,Australia,534,Peaches and Nectarines,623,Fruit Prepared nes [%],2011,2011,50,Y
10,Australia,534,Peaches and Nectarines,625,"Fruit,Nut,Peel,Sugar Prs [%]",2011,2011,5,Y
10,Australia,534,Peaches and Nectarines,626,Homogen.Cooked Fruit Pre [%],2011,2011,5,Y
10,Australia,664,Cocoa Butter,666,Chocolate Products nes [%],2011,2011,100,Y
10,Australia,869,Fat of Cattle,1225,Tallow [%],2011,2011,100,Y
10,Australia,871,Cattle Butcher Fat,1225,Tallow [%],2011,2011,100,Y
10,Australia,903,"Whey, Fresh",173,Lactose [%],2011,2011,10,Y
10,Australia,903,"Whey, Fresh",900,Dry Whey [%],2011,2011,90,Y
10,Australia,919,"Cattle Hides, Fresh",920,Hides Wet-Salted Cattle [%],2011,2011,100,Y
10,Australia,919,"Cattle Hides, Fresh",922,Hides nes Cattle [%],2011,2011,0,Y
10,Australia,979,Fat of Sheep,1225,Tallow [%],2011,2011,100,Y
10,Australia,1019,Fat of Goats,1225,Tallow [%],2011,2011,100,Y
10,Australia,1035,Pigmeat,1038,Pork [%],2011,2011,65,Y
10,Australia,1035,Pigmeat,1039,Bacon-Ham of Pigs [%],2011,2011,35,Y
10,Australia,1035,Pigmeat,1040,Pig Butcher Fat [%],2011,2011,65,Y
10,Australia,1040,Pig Butcher Fat,1225,Tallow [%],2011,2011,100,Y
11,Austria,16,Flour of Wheat,22,Pastry [%],2011,2011,70,Y
11,Austria,16,Flour of Wheat,23,Wheat Starch [%],2011,2011,30,Y
11,Austria,16,Flour of Wheat,24,Wheat Gluten [%],2011,2011,30,Y
11,Austria,56,Maize,57,Germ of Maize [%],2011,2011,99,Y
11,Austria,56,Maize,58,Flour of Maize [%],2011,2011,99,Y
11,Austria,56,Maize,59,Bran of Maize [%],2011,2011,99,Y
11,Austria,56,Maize,113,Cereal Prep nes [%],2011,2011,1,Y
11,Austria,108,Cereals nes,111,Flour of Cereals [%],2011,2011,100,Y
11,Austria,108,Cereals nes,112,Bran of Cereals [%],2011,2011,100,Y
11,Austria,116,Potatoes,118,"Potatoes, frozen [%]",2011,2011,9,Y
11,Austria,116,Potatoes,119,Potato Starch [%],2011,2011,90,Y
11,Austria,116,Potatoes,120,Potato Offals [%],2011,2011,9,Y
11,Austria,187,"Peas, Dry",212,Flour of Pulses [%],2011,2011,100,Y
11,Austria,187,"Peas, Dry",213,Bran of Pulses [%],2011,2011,100,Y
11,Austria,271,Oil of Rapeseed,1274,Oils Boiled etc [%],2011,2011,100,Y
11,Austria,292,Mustard Seed,293,Oil of Mustard Seed [%],2011,2011,60,Y
11,Austria,292,Mustard Seed,294,Cake of Mustard [%],2011,2011,60,Y
11,Austria,292,Mustard Seed,295,Flour of Mustard [%],2011,2011,40,Y
11,Austria,339,Oilseeds nes,340,Oil of Veget Origin nes [%],2011,2011,15,Y
11,Austria,339,Oilseeds nes,341,Cakes of Oilseeds [%],2011,2011,15,Y
11,Austria,339,Oilseeds nes,343,Flour/Meal of Oilseeds [%],2011,2011,85,Y
11,Austria,507,Grapefruit and Pomelos,509,Grapefruitjuice Sing-Str [%],2011,2011,100,Y
11,Austria,507,Grapefruit and Pomelos,510,Grapefruitjuice Concentr [%],2011,2011,0,Y
11,Austria,507,Grapefruit and Pomelos,513,Citrusjuice Single-Stren [%],2011,2011,0,Y
11,Austria,515,Apples,517,Ferm. Beverages Exc Wine [%],2011,2011,0,Y
11,Austria,515,Apples,518,Applejuice Single Streng [%],2011,2011,50,Y
11,Austria,515,Apples,519,Applejuice Concentrated [%],2011,2011,50,Y
11,Austria,515,Apples,628,Fruit Pulp for Feed [%],2011,2011,100,Y
11,Austria,515,Apples,654,Dregs from Brewing+Dist. [%],2011,2011,0,Y
11,Austria,526,Apricots,626,Homogen.Cooked Fruit Pre [%],2011,2011,100,Y
11,Austria,560,Grapes,566,Marc of Grapes [%],2011,2011,100,Y
11,Austria,867,Beef and Veal,877,Homogenized Meat Prep. [%],2011,2011,0.2,Y
11,Austria,903,"Whey, Fresh",900,Dry Whey [%],2011,2011,95,Y
11,Austria,903,"Whey, Fresh",905,Whey Cheese [%],2011,2011,5,Y
11,Austria,1035,Pigmeat,1038,Pork [%],2011,2011,99,Y
11,Austria,1035,Pigmeat,1039,Bacon-Ham of Pigs [%],2011,2011,1,Y
11,Austria,1035,Pigmeat,1040,Pig Butcher Fat [%],2011,2011,99,Y
11,Austria,1038,Pork,1041,Sausages Pig Meat [%],2011,2011,95,Y
11,Austria,1038,Pork,1042,Meat Preparations Pigs [%],2011,2011,5,Y
11,Austria,1040,Pig Butcher Fat,1043,Lard [%],2011,2011,100,Y
11,Austria,1040,Pig Butcher Fat,1225,Tallow [%],2011,2011,0,Y
11,Austria,1058,Chicken Meat,1059,Offals Liver of Chickens [%],2011,2011,65,Y
11,Austria,1058,Chicken Meat,1061,Meat Canned Chicken [%],2011,2011,5,Y
11,Austria,1058,Chicken Meat,1065,Fat of Poultry [%],2011,2011,30,Y
11,Austria,1065,Fat of Poultry,1066,Fat of Poultry Rendered [%],2011,2011,100,Y
11,Austria,1068,Ducks,1075,Offals Liver Ducks [%],2011,2011,100,Y
11,Austria,1080,Turkey Meat,1081,Offals Liver Turkeys [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",16,Flour of Wheat,20,Bread [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",44,Barley,49,Malt of Barley [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",56,Maize,57,Germ of Maize [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",56,Maize,58,Flour of Maize [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",56,Maize,59,Bran of Maize [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",157,Sugar Beets,159,Beet Sugar [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",157,Sugar Beets,165,Molasses [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",157,Sugar Beets,169,"Beet Pulp, Dry [%]",2011,2011,100,Y
52,"Azerbaijan, Republic of",162,"Sugar (Centrifugal, Raw)",164,Sugar Refined [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",164,Sugar Refined,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",234,Nuts nes,235,Preprd Nuts(Excl.Grnuts) [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",260,Olives,261,Oil of Olive [%],2011,2011,95,Y
52,"Azerbaijan, Republic of",388,Tomatoes,389,Tomatojuice Concentrated [%],2011,2011,4,Y
52,"Azerbaijan, Republic of",388,Tomatoes,390,Tomatojuice Single-Stren [%],2011,2011,4,Y
52,"Azerbaijan, Republic of",388,Tomatoes,391,Tomato Paste [%],2011,2011,84,Y
52,"Azerbaijan, Republic of",388,Tomatoes,392,Peeled Tomatoes [%],2011,2011,8,Y
52,"Azerbaijan, Republic of",397,Cucumbers and Gherkins,472,Vegetables Prepared nes [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",399,Eggplants,469,Vegetables Dehydrated [%],2011,2011,95,Y
52,"Azerbaijan, Republic of",399,Eggplants,472,Vegetables Prepared nes [%],2011,2011,5,Y
52,"Azerbaijan, Republic of",403,"Onions, Dry",473,Vegetables Frozen [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",449,Mushrooms,450,Dried Mushrooms [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",463,Vegetables Fresh nes,474,Veg. in Temp Preservativ [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",564,Wine,565,Vermouths and Similar [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",619,Fruit Fresh nes,624,Flour of Fruit [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",867,Beef and Veal,875,Beef Preparations [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",920,Hides Wet-Salted Cattle,921,Hides Dry-Salted Cattle [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",928,Skins Wet-Salt Calves,929,Skins Dry-Salt Calves [%],2011,2011,100,Y
52,"Azerbaijan, Republic of",995,"Sheepskins, Fresh",996,Skin Wet-Salted Sheep [%],2011,2011,95,Y
52,"Azerbaijan, Republic of",995,"Sheepskins, Fresh",998,Skin nes Sheep [%],2011,2011,0,Y
52,"Azerbaijan, Republic of",995,"Sheepskins, Fresh",999,Skin With Wool Sheep [%],2011,2011,5,Y
16,Bangladesh,16,Flour of Wheat,18,Macaroni [%],2011,2011,20,Y
16,Bangladesh,16,Flour of Wheat,20,Bread [%],2011,2011,30,Y
16,Bangladesh,16,Flour of Wheat,22,Pastry [%],2011,2011,40,Y
16,Bangladesh,116,Potatoes,117,Flour of Potatoes [%],2011,2011,100,Y
16,Bangladesh,164,Sugar Refined,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
16,Bangladesh,328,Seed Cotton,769,Cotton Waste [%],2011,2011,0,Y
16,Bangladesh,463,Vegetables Fresh nes,472,Vegetables Prepared nes [%],2011,2011,50,Y
16,Bangladesh,463,Vegetables Fresh nes,473,Vegetables Frozen [%],2011,2011,25,Y
16,Bangladesh,463,Vegetables Fresh nes,474,Veg. in Temp Preservativ [%],2011,2011,25,Y
16,Bangladesh,571,Mangoes,622,Fruit Juice nes [%],2011,2011,100,Y
16,Bangladesh,571,Mangoes,628,Fruit Pulp for Feed [%],2011,2011,100,Y
14,Barbados,490,Oranges,491,Oranjuice Single-Strengt [%],2011,2011,100,Y
14,Barbados,867,Beef and Veal,1172,Meat Prepared nes [%],2011,2011,100,Y
14,Barbados,882,"Cow Milk, Whole, Fresh",885,"Cream, Fresh [%]",2011,2011,100,Y
14,Barbados,882,"Cow Milk, Whole, Fresh",888,Skim Milk of Cows [%],2011,2011,100,Y
14,Barbados,1079,Turkeys,1080,Turkey Meat [%],2011,2011,100,Y
57,Belarus,449,Mushrooms,450,Dried Mushrooms [%],2011,2011,30,Y
57,Belarus,449,Mushrooms,451,Canned Mushrooms [%],2011,2011,70,Y
57,Belarus,564,Wine,565,Vermouths and Similar [%],2011,2011,100,Y
57,Belarus,661,Cocoa Beans,662,Cocoa Paste [%],2011,2011,100,Y
57,Belarus,661,Cocoa Beans,663,Cocoa Husks+Shell [%],2011,2011,100,Y
57,Belarus,665,Cocoa Powder and Cake,666,Chocolate Products nes [%],2011,2011,100,Y
57,Belarus,868,"Offals of Cattle, Edible",878,Liver Preparations [%],2011,2011,80,Y
57,Belarus,868,"Offals of Cattle, Edible",1164,"Meat, Dried, nes [%]",2011,2011,20,Y
57,Belarus,888,Skim Milk of Cows,889,"Whole Milk,Condensed [%]",2011,2011,0,Y
57,Belarus,888,Skim Milk of Cows,898,Dry Skim Cow Milk [%],2011,2011,63,Y
57,Belarus,888,Skim Milk of Cows,904,Cheese (Skim Cow Milk) [%],2011,2011,2.6,Y
57,Belarus,888,Skim Milk of Cows,917,Casein [%],2011,2011,34,Y
57,Belarus,919,"Cattle Hides, Fresh",920,Hides Wet-Salted Cattle [%],2011,2011,70,Y
57,Belarus,919,"Cattle Hides, Fresh",928,Skins Wet-Salt Calves [%],2011,2011,30,Y
57,Belarus,920,Hides Wet-Salted Cattle,921,Hides Dry-Salted Cattle [%],2011,2011,100,Y
57,Belarus,928,Skins Wet-Salt Calves,929,Skins Dry-Salt Calves [%],2011,2011,100,Y
57,Belarus,1035,Pigmeat,1038,Pork [%],2011,2011,99,Y
57,Belarus,1035,Pigmeat,1039,Bacon-Ham of Pigs [%],2011,2011,1,Y
57,Belarus,1035,Pigmeat,1040,Pig Butcher Fat [%],2011,2011,99,Y
57,Belarus,1037,Fat of Pigs,1168,Animal Oils and Fats nes [%],2011,2011,100,Y
57,Belarus,1058,Chicken Meat,1059,Offals Liver of Chickens [%],2011,2011,100,Y
57,Belarus,1062,Hen Eggs,1063,Eggs Liquid Hen [%],2011,2011,5,Y
57,Belarus,1062,Hen Eggs,1064,Eggs Dry Whole Yolks Hen [%],2011,2011,95,Y
255,Belgium,15,Wheat,16,Flour of Wheat [%],2011,2011,100,Y
255,Belgium,15,Wheat,17,Bran of Wheat [%],2011,2011,100,Y
255,Belgium,15,Wheat,19,Germ of Wheat [%],2011,2011,100,Y
255,Belgium,23,Wheat Starch,166,Other Fructose and Syrup [%],2011,2011,100,Y
255,Belgium,28,"Rice, Husked",29,Milled/Husked Rice [%],2011,2011,100,Y
255,Belgium,28,"Rice, Husked",35,Bran of Rice [%],2011,2011,100,Y
255,Belgium,32,"Rice, Broken",33,Rice Gluten [%],2011,2011,90,Y
255,Belgium,32,"Rice, Broken",34,"Rice, Starch [%]",2011,2011,90,Y
255,Belgium,32,"Rice, Broken",38,Rice Flour [%],2011,2011,10,Y
255,Belgium,45,Pot Barley,46,"Barley, Pearled [%]",2011,2011,100,Y
255,Belgium,45,Pot Barley,48,Barley Flour and Grits [%],2011,2011,100,Y
255,Belgium,49,Malt of Barley,51,Beer of Barley [%],2011,2011,100,Y
255,Belgium,49,Malt of Barley,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
255,Belgium,50,Malt Extracts,51,Beer of Barley [%],2011,2011,100,Y
255,Belgium,50,Malt Extracts,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
255,Belgium,56,Maize,57,Germ of Maize [%],2011,2011,100,Y
255,Belgium,56,Maize,58,Flour of Maize [%],2011,2011,100,Y
255,Belgium,56,Maize,59,Bran of Maize [%],2011,2011,100,Y
255,Belgium,57,Germ of Maize,60,Oil of Maize [%],2011,2011,100,Y
255,Belgium,57,Germ of Maize,61,Cake of Maize [%],2011,2011,100,Y
255,Belgium,58,Flour of Maize,63,Maize Gluten [%],2011,2011,100,Y
255,Belgium,58,Flour of Maize,64,Starch of Maize [%],2011,2011,100,Y
255,Belgium,75,Oats,76,"Oats, Rolled [%]",2011,2011,100,Y
255,Belgium,75,Oats,77,Bran of Oats [%],2011,2011,100,Y
255,Belgium,103,Mixed Grain,104,Flour of Mixed Grain [%],2011,2011,100,Y
255,Belgium,103,Mixed Grain,105,Bran of Mixed Grain [%],2011,2011,100,Y
255,Belgium,157,Sugar Beets,159,Beet Sugar [%],2011,2011,100,Y
255,Belgium,157,Sugar Beets,165,Molasses [%],2011,2011,100,Y
255,Belgium,157,Sugar Beets,169,"Beet Pulp, Dry [%]",2011,2011,100,Y
255,Belgium,162,"Sugar (Centrifugal, Raw)",164,Sugar Refined [%],2011,2011,100,Y
255,Belgium,165,Molasses,632,Alcohol Non Food Purpose [%],2011,2011,10,Y
255,Belgium,165,Molasses,634,Beverages Dist Alcoholic [%],2011,2011,90,Y
255,Belgium,165,Molasses,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
255,Belgium,172,Glucose and Dextrose,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
255,Belgium,242,Groundnuts in Shell,243,Groundnuts Shelled [%],2011,2011,100,Y
255,Belgium,243,Groundnuts Shelled,244,Oil of Groundnuts [%],2011,2011,100,Y
255,Belgium,243,Groundnuts Shelled,245,Cake of Groundnuts [%],2011,2011,100,Y
255,Belgium,244,Oil of Groundnuts,1242,Margarine + Shortening [%],2011,2011,100,Y
255,Belgium,251,Copra,252,Oil of Coconuts [%],2011,2011,100,Y
255,Belgium,251,Copra,253,Cake of Coconuts [%],2011,2011,100,Y
255,Belgium,256,Palm Kernels,258,Oil of Palm Kernels [%],2011,2011,100,Y
255,Belgium,256,Palm Kernels,259,Cake of Palm Kernels [%],2011,2011,100,Y
255,Belgium,257,Oil of Palm,1274,Oils Boiled etc [%],2011,2011,0,Y
255,Belgium,267,Sunflower Seed,268,Oil of Sunflower Seed [%],2011,2011,100,Y
255,Belgium,267,Sunflower Seed,269,Cake of Sunflower Seed [%],2011,2011,100,Y
255,Belgium,268,Oil of Sunflower Seed,1242,Margarine + Shortening [%],2011,2011,100,Y
255,Belgium,270,Rapeseed,271,Oil of Rapeseed [%],2011,2011,100,Y
255,Belgium,270,Rapeseed,272,Cake of Rapeseed [%],2011,2011,100,Y
255,Belgium,271,Oil of Rapeseed,1242,Margarine + Shortening [%],2011,2011,100,Y
255,Belgium,280,Safflower Seed,281,Oil of Safflower [%],2011,2011,100,Y
255,Belgium,280,Safflower Seed,282,Cake of Safflower [%],2011,2011,100,Y
255,Belgium,289,Sesame Seed,290,Oil of Sesame Seed [%],2011,2011,100,Y
255,Belgium,289,Sesame Seed,291,Cake of Sesame Seed [%],2011,2011,100,Y
255,Belgium,290,Oil of Sesame Seed,1242,Margarine + Shortening [%],2011,2011,100,Y
255,Belgium,292,Mustard Seed,295,Flour of Mustard [%],2011,2011,100,Y
255,Belgium,331,Oil of Cotton Seed,1242,Margarine + Shortening [%],2011,2011,100,Y
255,Belgium,333,Linseed,334,Oil of Linseed [%],2011,2011,100,Y
255,Belgium,333,Linseed,335,Cake of Linseed [%],2011,2011,100,Y
255,Belgium,334,Oil of Linseed,1274,Oils Boiled etc [%],2011,2011,0,Y
255,Belgium,339,Oilseeds nes,340,Oil of Veget Origin nes [%],2011,2011,100,Y
255,Belgium,339,Oilseeds nes,341,Cakes of Oilseeds [%],2011,2011,100,Y
255,Belgium,358,Cabbages,472,Vegetables Prepared nes [%],2011,2011,100,Y
255,Belgium,373,Spinach,473,Vegetables Frozen [%],2011,2011,100,Y
255,Belgium,388,Tomatoes,390,Tomatojuice Single-Stren [%],2011,2011,100,Y
255,Belgium,393,Cauliflower,472,Vegetables Prepared nes [%],2011,2011,100,Y
255,Belgium,397,Cucumbers and Gherkins,471,Vegetables Pr by Vinegar [%],2011,2011,100,Y
255,Belgium,403,"Onions, Dry",473,Vegetables Frozen [%],2011,2011,100,Y
255,Belgium,414,"Beans, Green",472,Vegetables Prepared nes [%],2011,2011,100,Y
255,Belgium,417,"Peas, Green",473,Vegetables Frozen [%],2011,2011,100,Y
255,Belgium,420,"Broad Beans, Green",473,Vegetables Frozen [%],2011,2011,100,Y
255,Belgium,426,Carrots,472,Vegetables Prepared nes [%],2011,2011,100,Y
255,Belgium,463,Vegetables Fresh nes,473,Vegetables Frozen [%],2011,2011,100,Y
255,Belgium,486,Bananas,604,Fruit Tropical Dried nes [%],2011,2011,100,Y
255,Belgium,490,Oranges,491,Oranjuice Single-Strengt [%],2011,2011,30,Y
255,Belgium,490,Oranges,492,Oranjuice Concentrated [%],2011,2011,70,Y
255,Belgium,490,Oranges,628,Fruit Pulp for Feed [%],2011,2011,100,Y
255,Belgium,495,Tang.Mand.Clement.Satsma,513,Citrusjuice Single-Stren [%],2011,2011,30,Y
255,Belgium,495,Tang.Mand.Clement.Satsma,514,Citrusjuice Concentrated [%],2011,2011,70,Y
255,Belgium,495,Tang.Mand.Clement.Satsma,628,Fruit Pulp for Feed [%],2011,2011,100,Y
