"Area.Code","Item.Code","Year","ExtractRate"
7,15,2006,10000
7,15,2007,10000
7,15,2008,10000
7,15,2009,10000
7,15,2010,10000
7,15,2011,10000
7,16,2005,7000
7,16,2006,7000
7,16,2007,7000
7,16,2008,7000
7,16,2009,7000
7,16,2010,7000
7,16,2011,7000
7,17,2005,1900
7,17,2006,1900
7,17,2007,1900
7,17,2008,1900
7,17,2009,1900
7,17,2010,1900
7,17,2011,1900
7,18,2005,10000
7,18,2006,10000
7,18,2007,10000
7,18,2008,10000
7,18,2009,10000
7,18,2010,10000
7,18,2011,10000
7,20,2005,12000
7,20,2006,12000
7,20,2007,12000
7,20,2008,12000
7,20,2009,12000
7,20,2010,12000
7,20,2011,12000
7,49,2005,0
7,49,2006,0
7,49,2007,0
7,49,2008,0
7,49,2009,0
7,49,2010,0
7,49,2011,0
7,51,2005,65342.429
7,51,2006,66283.999
7,51,2007,66529.954
7,51,2008,63550.978
7,51,2009,64169.275
7,51,2010,64757.314
7,51,2011,64311.203
7,168,2005,15000
7,168,2006,15000
7,168,2007,15000
7,168,2008,15000
7,168,2009,15000
7,168,2010,15000
7,168,2011,15000
7,633,2005,50000
7,633,2006,50000
7,633,2007,50000
7,633,2008,50000
7,633,2009,50000
7,633,2010,50000
7,633,2011,50000
7,634,2005,5000
7,634,2006,5000
7,634,2007,5000
7,634,2008,5000
7,634,2009,5000
7,634,2010,5000
7,634,2011,5000
8,16,2005,7500
8,16,2006,7500
8,16,2007,7500
8,16,2008,7500
8,16,2009,7500
8,16,2010,7500
8,16,2011,7500
8,17,2005,0
8,17,2006,0
8,17,2007,0
8,17,2008,0
8,17,2009,0
8,17,2010,0
8,17,2011,0
8,51,2005,6000
8,51,2006,6000
8,51,2007,6000
8,51,2008,6000
8,51,2009,6000
8,51,2010,6000
8,51,2011,6000
8,634,2005,5000
8,634,2006,5000
8,634,2007,5000
8,634,2008,5000
8,634,2009,5000
8,634,2010,5000
8,634,2011,5000
8,654,2005,4000
8,654,2006,4000
8,654,2007,4000
8,654,2008,4000
8,654,2009,4000
8,654,2010,4000
8,654,2011,4000
9,15,2005,10000
9,15,2006,10000
9,15,2007,10000
9,15,2008,10000
9,15,2009,10000
9,15,2010,10000
9,15,2011,10000
9,16,2005,8139.473
9,16,2006,8324.708
9,16,2007,8242.583
9,16,2008,8358.138
9,16,2009,8479.873
9,16,2010,8483.849
9,16,2011,8470.729
9,17,2005,1850.654
9,17,2006,1672.877
9,17,2007,1752.465
9,17,2008,1625.723
9,17,2009,1514.327
9,17,2010,1514.818
9,17,2011,1521.751
9,18,2005,10000
9,18,2006,10000
9,18,2007,10000
9,18,2008,10000
9,18,2009,10000
9,18,2010,10000
9,18,2011,10000
9,20,2005,12500
9,20,2006,12500
9,20,2007,12500
9,20,2008,12500
9,20,2009,12500
9,20,2010,12500
9,20,2011,12500
9,22,2005,10000
9,22,2006,10000
9,22,2007,10000
9,22,2008,10000
9,22,2009,10000
9,22,2010,10000
9,22,2011,10000
9,23,2005,8500
9,23,2006,8500
9,23,2007,8500
9,23,2008,8500
9,23,2009,8500
9,23,2010,8500
9,23,2011,8500
9,24,2005,1000
9,24,2006,1000
9,24,2007,1000
9,24,2008,1000
9,24,2009,1000
9,24,2010,1000
9,24,2011,1000
9,41,2005,9000
9,41,2006,9000
9,41,2007,9000
9,41,2008,9000
9,41,2009,9000
9,41,2010,9000
9,41,2011,9000
9,49,2005,7500
9,49,2006,7500
9,49,2007,7500
9,49,2008,7500
9,49,2009,7500
9,49,2010,7500
9,49,2011,7500
9,50,2005,8000
9,50,2006,8000
9,50,2007,8000
9,50,2008,8000
9,50,2009,8000
9,50,2010,8000
9,50,2011,8000
9,51,2005,65498.333
9,51,2006,66025.8
9,51,2007,66145.264
9,51,2008,66206.377
9,51,2009,66160.719
9,51,2010,66012.643
9,51,2011,64431.573
9,113,2005,10000
9,113,2006,10000
9,113,2007,10000
9,113,2008,10000
9,113,2009,10000
9,113,2010,10000
9,113,2011,10000
9,168,2005,10000
9,168,2006,10000
9,168,2007,10000
9,168,2008,10000
9,168,2009,10000
9,168,2010,10000
9,168,2011,10000
9,172,2005,10000
9,172,2006,10000
9,172,2007,10000
9,172,2008,10000
9,172,2009,10000
9,172,2010,10000
9,172,2011,10000
9,632,2005,823.529
9,632,2006,823.529
9,632,2007,824.176
9,632,2008,824.176
9,632,2009,824.176
9,632,2010,824.176
9,632,2011,824.176
9,633,2005,90000
9,633,2006,90000
9,633,2007,90000
9,633,2008,90000
9,633,2009,90000
9,633,2010,90000
9,633,2011,90000
9,634,2005,4979.253
9,634,2006,4960
9,634,2007,4933.333
9,634,2008,4933.333
9,634,2009,4933.333
9,634,2010,4933.333
9,634,2011,4933.333
9,654,2005,4000
9,654,2006,4000
9,654,2007,4000
9,654,2008,4000
9,654,2009,4000
9,654,2010,4000
9,654,2011,4000
9,846,2005,10000
9,846,2006,10000
9,846,2007,10000
9,846,2008,10000
9,846,2009,10000
9,846,2010,10000
9,846,2011,10000
10,15,2005,10000
10,15,2006,10000
10,15,2007,10000
10,15,2008,10000
10,15,2009,10000
10,15,2010,10000
10,15,2011,10000
10,16,2005,7300
10,16,2006,7300
10,16,2007,7299.957
10,16,2008,7300
10,16,2009,7300
10,16,2010,7750
10,16,2011,7750
10,17,2005,2400
10,17,2006,2400
10,17,2007,2400
10,17,2008,2400
10,17,2009,2400
10,17,2010,2400
10,17,2011,2400
10,18,2005,10000
10,18,2006,10000
10,18,2007,10000
10,18,2008,10000
10,18,2009,10000
10,18,2010,10000
10,18,2011,10000
10,19,2005,200
10,19,2006,200
10,19,2007,200
10,19,2008,200
10,19,2009,200
10,19,2010,200
10,19,2011,200
10,20,2005,13000
10,20,2006,13000
10,20,2007,13000
10,20,2008,13000
10,20,2009,13000
10,20,2010,13000
10,20,2011,13000
10,22,2005,13000
10,22,2006,13000
10,22,2007,13000
10,22,2008,13000
10,22,2009,13000
10,22,2010,13000
10,22,2011,13000
10,23,2005,7800
10,23,2006,7800
10,23,2007,7800
10,23,2008,7800
10,23,2009,7800
10,23,2010,7800
10,23,2011,7800
10,24,2005,1500
10,24,2006,1500
10,24,2007,1500
10,24,2008,1500
10,24,2009,1500
10,24,2010,1500
10,24,2011,1500
10,41,2005,12000
10,41,2006,12000
10,41,2007,12000
10,41,2008,12000
10,41,2009,12000
10,41,2010,12000
10,41,2011,12000
10,49,2005,8000
10,49,2006,8000
10,49,2007,8000
10,49,2008,8000
10,49,2009,8000
10,49,2010,8000
10,49,2011,8000
10,50,2005,8000
10,50,2006,8000
10,50,2007,8000
10,50,2008,8000
10,50,2009,8000
10,50,2010,8000
10,50,2011,8000
10,51,2005,58313.817
10,51,2006,70315.795
10,51,2007,72244.71
10,51,2008,60605.788
10,51,2009,65782.406
10,51,2010,65707.688
10,51,2011,66942.517
10,113,2005,12000
10,113,2006,12000
10,113,2007,12000
10,113,2008,12000
10,113,2009,12000
10,113,2010,12000
10,113,2011,12000
10,168,2005,10000
10,168,2006,10000
10,168,2007,10000
10,168,2008,10000
10,168,2009,10000
10,168,2010,10000
10,168,2011,10000
10,172,2005,10918.392
10,172,2006,10982.6
10,172,2007,11005.307
10,172,2008,11011.946
10,172,2009,10999.69
10,172,2010,10998.545
10,172,2011,10987.14
10,632,2005,2500
10,632,2006,2500
10,632,2007,2500
10,632,2008,2500
10,632,2009,2500
10,632,2010,2500
10,632,2011,2500
10,633,2005,10000
10,633,2006,10000
10,633,2007,10000
10,633,2008,10000
10,633,2009,10000
10,633,2010,10000
10,633,2011,10000
10,634,2005,3297.31
10,634,2006,3296.367
10,634,2007,3337.019
10,634,2008,3307.79
10,634,2009,3293.198
10,634,2010,3291.813
10,634,2011,3293.808
10,654,2005,4000
10,654,2006,4000
10,654,2007,4000
10,654,2008,4000
10,654,2009,4000
10,654,2010,4000
10,654,2011,4000
11,15,2005,10000
11,15,2006,10000
11,15,2007,10000
11,15,2008,10000
11,15,2009,10000
11,15,2010,10000
11,15,2011,10000
11,16,2005,8049
11,16,2006,8050
11,16,2007,8050
11,16,2008,8050
11,16,2009,8050
11,16,2010,8050
11,16,2011,8050
11,17,2005,1670
11,17,2006,1670
11,17,2007,1670
11,17,2008,1670
11,17,2009,1670
11,17,2010,1670
11,17,2011,1670
11,19,2005,100
11,19,2006,100
11,19,2007,100
11,19,2008,100
11,19,2009,100
11,19,2010,100
11,19,2011,100
11,22,2005,10000
11,22,2006,10000
11,22,2007,10000
11,22,2008,10000
11,22,2009,10000
11,22,2010,10000
11,22,2011,10000
11,23,2005,8000
11,23,2006,8000
11,23,2007,8000
11,23,2008,8000
11,23,2009,8000
11,23,2010,8000
11,23,2011,8000
11,24,2005,1000
11,24,2006,1000
11,24,2007,1000
11,24,2008,1000
11,24,2009,1000
11,24,2010,1000
11,24,2011,1000
11,49,2005,7000
11,49,2006,7000
11,49,2007,7000
11,49,2008,7000
11,49,2009,7000
11,49,2010,7000
11,49,2011,7000
11,51,2005,56290.994
11,51,2006,67648.978
11,51,2007,64716.32
11,51,2008,65799.183
11,51,2009,52745.929
11,51,2010,59787.604
11,51,2011,62446.126
11,113,2005,10000
11,113,2006,10000
11,113,2007,10000
11,113,2008,10000
11,113,2009,10000
11,113,2010,10000
11,113,2011,10000
11,172,2005,10000
11,172,2006,10000
11,172,2007,10000
11,172,2008,10000
11,172,2009,10000
11,172,2010,10000
11,172,2011,10000
11,632,2005,5000
11,632,2006,5000
11,632,2007,5000
11,632,2008,5000
11,632,2009,5000
11,632,2010,5000
11,632,2011,5000
11,633,2005,50000
11,633,2006,50000
11,633,2007,50000
11,633,2008,50000
11,633,2009,50000
11,633,2010,50000
11,633,2011,50000
11,634,2005,4484.752
11,634,2006,4289.8
11,634,2007,4296.933
11,634,2008,4463
11,634,2009,4299.451
11,634,2010,4392.872
11,634,2011,4308.488
11,654,2005,4000
11,654,2006,4000
11,654,2007,4000
11,654,2008,4000
11,654,2009,4000
11,654,2010,4000
11,654,2011,4000
11,846,2005,10000
11,846,2006,10000
11,846,2007,10000
11,846,2008,10000
11,846,2009,10000
11,846,2010,10000
11,846,2011,10000
12,16,2005,7500
12,16,2006,7500
12,16,2007,7500
12,16,2008,7500
12,16,2009,7500
12,16,2010,7500
12,16,2011,7500
12,17,2005,2450
12,17,2006,2450
12,17,2007,2450
12,17,2008,2450
12,17,2009,2450
12,17,2010,2450
12,17,2011,2450
12,634,2005,2000
12,634,2006,2000
12,634,2007,2000
12,634,2008,2000
12,634,2009,2000
12,634,2010,2000
12,634,2011,2000
13,16,2005,7500
13,16,2006,7500
13,16,2007,7500
13,16,2008,7500
13,16,2009,7500
13,16,2010,7500
13,16,2011,7500
13,17,2005,2000
13,17,2006,2000
13,17,2007,2000
13,17,2008,2000
13,17,2009,2000
13,17,2010,2000
13,17,2011,2000
14,16,2005,7500
14,16,2006,7500
14,16,2007,7500
14,16,2008,7500
14,16,2009,7812.5
14,16,2010,7916.667
14,16,2011,7872.928
14,17,2005,2000
14,17,2006,2000
14,17,2007,2000
14,17,2008,2000
14,17,2009,2000
14,17,2010,2000
14,17,2011,2000
14,18,2005,10000
14,18,2006,10000
14,18,2007,10000
14,18,2008,10000
14,18,2009,10000
14,18,2010,10000
14,18,2011,10000
14,20,2005,12000
14,20,2006,12000
14,20,2007,12000
14,20,2008,12000
14,20,2009,12000
14,20,2010,12000
14,20,2011,12000
14,22,2005,10000
14,22,2006,10000
14,22,2007,10000
14,22,2008,10000
14,22,2009,10000
14,22,2010,10000
14,22,2011,10000
14,49,2005,8000
14,49,2006,8000
14,49,2007,8000
14,49,2008,8000
14,49,2009,8000
14,49,2010,8000
14,49,2011,8000
14,51,2005,56000
14,51,2006,57142.857
14,51,2007,57142.857
14,51,2008,57142.857
14,51,2009,57142.857
14,51,2010,57142.857
14,51,2011,57142.857
14,168,2005,10000
14,168,2006,10000
14,168,2007,10000
14,168,2008,10000
14,168,2009,10000
14,168,2010,10000
14,168,2011,10000
14,634,2005,5000
14,634,2006,5000
14,634,2007,5000
14,634,2008,5000
14,634,2009,5000
14,634,2010,8437.5
14,634,2011,8437.5
14,654,2005,4000
14,654,2006,4000
14,654,2007,4000
14,654,2008,4000
14,654,2009,4000
14,654,2010,4000
14,654,2011,4000
15,15,2005,10000
15,15,2006,10000
15,15,2007,10000
15,15,2008,10000
15,15,2009,10000
15,15,2010,10000
15,15,2011,10000
15,16,2005,7143
15,16,2006,7143
15,16,2007,7143
15,16,2008,7143
15,16,2009,7143
15,16,2010,7143
15,16,2011,7143
15,17,2005,2000
15,17,2006,2000
15,17,2007,2000
15,17,2008,2000
15,17,2009,2000
15,17,2010,2000
15,17,2011,2000
15,18,2005,10000
15,18,2006,10000
15,18,2007,10000
15,18,2008,10000
15,18,2009,10000
15,18,2010,10000
15,18,2011,10000
15,19,2005,200
15,19,2006,200
15,19,2007,200
15,19,2008,200
15,19,2009,200
15,19,2010,200
15,19,2011,200
15,22,2005,12000
15,22,2006,12000
15,22,2007,12000
15,22,2008,12000
15,22,2009,12000
15,22,2010,12000
15,22,2011,12000
15,23,2005,8500
15,23,2006,8500
15,23,2007,8500
15,23,2008,8500
15,23,2009,8500
15,23,2010,8500
15,23,2011,8500
15,24,2005,1000
15,24,2006,1000
15,24,2007,1000
15,24,2008,1000
15,24,2009,1000
15,24,2010,1000
15,24,2011,1000
15,49,2005,7001.88
15,49,2006,7001.88
15,49,2007,7001.88
15,49,2008,7001.88
15,49,2009,7001.88
15,49,2010,7001.88
15,49,2011,7001.88
15,51,2005,21156.186
15,51,2006,21156.186
15,51,2007,21156.186
15,51,2008,21156.186
15,51,2009,21156.186
15,51,2010,21156.186
15,51,2011,21156.186
15,110,2005,10000
15,110,2006,10000
15,110,2007,10000
15,110,2008,10000
15,110,2009,10000
15,110,2010,10000
15,110,2011,10000
15,113,2005,10000
15,113,2006,10000
15,113,2007,10000
15,113,2008,10000
15,113,2009,10000
15,113,2010,10000
15,113,2011,10000
15,166,2005,10000
15,166,2006,10000
15,166,2007,10000
15,166,2008,10000
15,166,2009,10000
15,166,2010,10000
15,166,2011,10000
15,168,2005,10000
15,168,2006,10000
15,168,2007,10000
15,168,2008,10000
15,168,2009,10000
15,168,2010,10000
15,168,2011,10000
15,172,2005,11000
15,172,2006,11000
15,172,2007,11000
15,172,2008,11000
15,172,2009,11000
15,172,2010,11000
15,172,2011,11000
15,175,2005,10000
15,175,2006,10000
15,175,2007,10000
15,175,2008,10000
15,175,2009,10000
15,175,2010,10000
15,175,2011,10000
15,632,2005,2500
15,632,2006,2500
15,632,2007,2500
15,632,2008,2500
15,632,2009,2500
15,632,2010,2500
15,632,2011,2500
15,633,2005,50000
15,633,2006,50000
15,633,2007,50000
15,633,2008,50000
15,633,2009,50000
15,633,2010,50000
15,633,2011,50000
15,634,2005,3465.347
15,634,2006,3465.347
15,634,2007,3465.347
15,634,2008,3465.347
15,634,2009,3465.347
15,634,2010,3465.347
15,634,2011,3465.347
15,654,2005,3000
15,654,2006,3000
15,654,2007,3000
15,654,2008,3000
15,654,2009,3000
15,654,2010,3000
15,654,2011,3000
16,15,2005,10000
16,15,2006,10000
16,15,2007,10000
16,15,2008,10000
16,15,2009,10000
16,15,2010,10000
16,15,2011,10000
16,16,2005,9000
16,16,2006,9000
16,16,2007,9000
16,16,2008,9000
16,16,2009,9000
16,16,2010,9000
16,16,2011,9000
16,17,2005,800
16,17,2006,800
16,17,2007,800
16,17,2008,800
16,17,2009,800
16,17,2010,800
16,17,2011,800
16,18,2005,10000
16,18,2006,10000
16,18,2007,10000
16,18,2008,10000
16,18,2009,10000
16,18,2010,10000
16,18,2011,10000
16,20,2005,10000
16,20,2006,10000
16,20,2007,10000
16,20,2008,10000
16,20,2009,10000
16,20,2010,10000
16,20,2011,10000
16,22,2005,10000
16,22,2006,10000
16,22,2007,10000
16,22,2008,10000
16,22,2009,10000
16,22,2010,10000
16,22,2011,10000
16,113,2005,10000
16,113,2006,10000
16,113,2007,10000
16,113,2008,10000
16,113,2009,10000
16,113,2010,10000
16,113,2011,10000
16,633,2005,0
16,633,2006,0
16,633,2007,0
16,633,2008,3000
16,633,2009,3000
16,633,2010,3000
16,633,2011,3000
17,634,2005,5000
17,634,2006,5000
17,634,2007,5000
17,634,2008,5000
17,634,2009,5000
17,634,2010,5000
17,634,2011,5000
17,654,2005,4000
17,654,2006,4000
17,654,2007,4000
17,654,2008,4000
17,654,2009,4000
17,654,2010,4000
17,654,2011,4000
18,15,2005,10000
18,15,2006,10000
18,15,2007,10000
18,15,2008,10000
18,15,2009,10000
18,15,2010,10000
18,15,2011,10000
18,16,2005,9000
18,16,2006,9000
18,16,2007,9000
18,16,2008,9000
18,16,2009,9000
18,16,2010,9000
18,16,2011,9000
18,17,2005,800
18,17,2006,800
18,17,2007,800
18,17,2008,800
18,17,2009,800
18,17,2010,800
18,17,2011,800
18,49,2005,8000
18,49,2006,8000
18,49,2007,8000
18,49,2008,8000
18,49,2009,8000
18,49,2010,8000
18,49,2011,8000
18,51,2005,12830.473
18,51,2006,13707.512
18,51,2007,13381.672
18,51,2008,40158.184
18,51,2009,38995.745
18,51,2010,17071.033
18,51,2011,26219.22
19,15,2005,10000
19,15,2006,10000
19,15,2007,10000
19,15,2008,10000
19,15,2009,10000
19,15,2010,10000
19,15,2011,10000
19,16,2005,7179.487
19,16,2006,7163.121
19,16,2007,7153.846
19,16,2008,7115.385
19,16,2009,7021.277
19,16,2010,7169.811
19,16,2011,7166.667
19,17,2005,2200
19,17,2006,2200
19,17,2007,2200
19,17,2008,2200
19,17,2009,2200
19,17,2010,2200
19,17,2011,2200
19,18,2005,10000
19,18,2006,10000
19,18,2007,10000
19,18,2008,10000
19,18,2009,10000
19,18,2010,10000
19,18,2011,10000
19,19,2005,200
19,19,2006,200
19,19,2007,200
19,19,2008,200
19,19,2009,200
19,19,2010,200
19,19,2011,200
19,49,2005,7700
19,49,2006,7700
19,49,2007,7700
19,49,2008,7700
19,49,2009,7700
19,49,2010,7700
19,49,2011,7700
19,51,2005,60709.591
19,51,2006,61304.155
19,51,2007,60931.399
19,51,2008,61038.89
19,51,2009,61645.563
19,51,2010,60288.757
19,51,2011,54997.549
19,632,2005,5500
19,632,2006,5500
19,632,2007,5500
19,632,2008,5500
19,632,2009,5500
19,632,2010,5500
19,632,2011,5500
19,634,2005,3000
19,634,2006,3000
19,634,2007,3000
19,634,2008,3000
19,634,2009,3000
19,634,2010,3000
19,634,2011,3000
19,654,2005,4000
19,654,2006,4000
19,654,2007,4000
19,654,2008,4000
19,654,2009,4000
19,654,2010,4000
19,654,2011,4000
20,15,2005,10000
20,15,2006,10000
20,15,2007,10000
20,15,2008,10000
20,15,2009,10000
20,15,2010,10000
20,15,2011,10000
20,16,2005,8000
20,16,2006,8000
20,16,2007,8000
20,16,2008,8000
20,16,2009,8000
20,16,2010,8000
20,16,2011,8000
20,17,2005,1800
20,17,2006,1800
20,17,2007,1800
20,17,2008,1800
20,17,2009,1800
20,17,2010,1800
20,17,2011,1800
20,19,2005,200
20,19,2006,200
20,19,2007,200
20,19,2008,200
20,19,2009,200
20,19,2010,200
20,19,2011,200
20,22,2005,10000
20,22,2006,10000
20,22,2007,10000
20,22,2008,10000
20,22,2009,10000
20,22,2010,10000
20,22,2011,10000
20,51,2005,64968.153
20,51,2006,65061.898
20,51,2007,65035.971
20,51,2008,64705.882
20,51,2009,65326.087
20,51,2010,64000
20,51,2011,65000
20,168,2005,10000
20,168,2006,10000
20,168,2007,10000
20,168,2008,10000
20,168,2009,10000
20,168,2010,10000
20,168,2011,10000
20,172,2005,10000
20,172,2006,10000
20,172,2007,10000
20,172,2008,10000
20,172,2009,10000
20,172,2010,10000
20,172,2011,10000
20,654,2005,2000
20,654,2006,2000
20,654,2007,2000
20,654,2008,2000
20,654,2009,2000
20,654,2010,2000
20,654,2011,2000
21,15,2005,10000
21,15,2006,10000
21,15,2007,10000
21,15,2008,10000
21,15,2009,10000
21,15,2010,10000
21,15,2011,10000
21,16,2005,7200
21,16,2006,7200
21,16,2007,7200
21,16,2008,7200
21,16,2009,7200
21,16,2010,7200
21,16,2011,7200
21,17,2005,2500
21,17,2006,2500
21,17,2007,2500
21,17,2008,2500
21,17,2009,2500
21,17,2010,2500
21,17,2011,2500
21,18,2005,10000
21,18,2006,10000
21,18,2007,10000
21,18,2008,10000
21,18,2009,10000
21,18,2010,10000
21,18,2011,10000
21,20,2005,12000
21,20,2006,12000
21,20,2007,12000
21,20,2008,12000
21,20,2009,12000
21,20,2010,12000
21,20,2011,12000
21,22,2005,10000
21,22,2006,10000
21,22,2007,10000
21,22,2008,10000
21,22,2009,10000
21,22,2010,10000
21,22,2011,10000
21,41,2005,9000
21,41,2006,9000
21,41,2007,9000
21,41,2008,9000
21,41,2009,9000
21,41,2010,9000
21,41,2011,9000
21,49,2005,8000
21,49,2006,8000
21,49,2007,8000
21,49,2008,8000
21,49,2009,8000
21,49,2010,8000
21,49,2011,8000
21,51,2005,66320.55
21,51,2006,66628.46
21,51,2007,65838.394
21,51,2008,62785.669
21,51,2009,61927.22
21,51,2010,70775.124
21,51,2011,71819.626
21,110,2005,11000
21,110,2006,11000
21,110,2007,11000
21,110,2008,11000
21,110,2009,11000
21,110,2010,11000
21,110,2011,11000
21,113,2005,10000
21,113,2006,10000
21,113,2007,10000
21,113,2008,10000
21,113,2009,10000
21,113,2010,10000
21,113,2011,10000
21,168,2005,10000
21,168,2006,10000
21,168,2007,10000
21,168,2008,10000
21,168,2009,10000
21,168,2010,10000
21,168,2011,10000
21,172,2005,11000
21,172,2006,11000
21,172,2007,11000
21,172,2008,11000
21,172,2009,11000
21,172,2010,11000
21,172,2011,11000
21,632,2005,5000
21,632,2006,5000
21,632,2007,5000
21,632,2008,5000
21,632,2009,5000
21,632,2010,5000
21,632,2011,5000
21,633,2005,50000
21,633,2006,50000
21,633,2007,50000
21,633,2008,50000
21,633,2009,50000
21,633,2010,50000
21,633,2011,50000
21,634,2005,5000
21,634,2006,5000
21,634,2007,5000
21,634,2008,5000
21,634,2009,5000
21,634,2010,5000
21,634,2011,5000
21,654,2005,4000
21,654,2006,4000
21,654,2007,4000
21,654,2008,4000
21,654,2009,4000
21,654,2010,4000
21,654,2011,4000
23,16,2005,7578.126
23,16,2006,7590.911
23,16,2007,7735.381
23,16,2008,7678.239
23,16,2009,7529.948
23,16,2010,7546.986
23,16,2011,7539.048
23,17,2005,2200
23,17,2006,2200
23,17,2007,2200
23,17,2008,2200
23,17,2009,2200
23,17,2010,2200
23,17,2011,2200
23,51,2005,65080.972
23,51,2006,65612.382
23,51,2007,64953.811
23,51,2008,65022.422
23,51,2009,64981.037
23,51,2010,64983.713
23,51,2011,64787.043
23,634,2005,5000
23,634,2006,5000
23,634,2007,5000
23,634,2008,5000
23,634,2009,5000
23,634,2010,5000
23,634,2011,5000
23,654,2005,4000
23,654,2006,4000
23,654,2007,4000
23,654,2008,4000
23,654,2009,4000
